iShares S&P 100 ETF
Fund Holdings as of,"Sep 02, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"44,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AXP","AMERICAN EXPRESS","Financials","Equity","25,725,621.60","0.34","25,725,621.60","246,414.00","025816109","US0258161092","2026082","104.40","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","25,409,737.80","0.34","25,409,737.80","319,740.00","194162103","US1941621039","2209106","79.47","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","24,268,861.76","0.32","24,268,861.76","115,544.00","38141G104","US38141G1040","2407966","210.04","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MS","MORGAN STANLEY","Financials","Equity","23,802,537.00","0.32","23,802,537.00","446,996.00","617446448","US6174464486","2262314","53.25","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DUK","DUKE ENERGY CORP","Utilities","Equity","22,348,443.05","0.30","22,348,443.05","274,315.00","26441C204","US26441C2044","B7VD3F2","81.47","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","21,513,000.00","0.29","21,513,000.00","21,513,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"GE","GENERAL ELECTRIC","Industrials","Equity","21,028,267.96","0.28","21,028,267.96","3,265,259.00","369604103","US3696041033","2380498","6.44","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"SO","SOUTHERN","Utilities","Equity","20,974,424.22","0.28","20,974,424.22","394,182.00","842587107","US8425871071","2829601","53.21","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"FDX","FEDEX CORP","Industrials","Equity","20,448,541.02","0.27","20,448,541.02","89,722.00","31428X106","US31428X1063","2142784","227.91","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"USB","US BANCORP","Financials","Equity","19,246,165.30","0.26","19,246,165.30","511,730.00","902973304","US9029733048","2736035","37.61","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
